source,reference,prediction,reference_len,prediction_len,token_f1,length_gap
音乐 戈特福里德·休帕茨 雕塑 沃尔特·舒尔茨,Music: Gottfried Huppertz. Sculptor:,the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,7,50,0.0,43
"""明天，这花蕾将盛放""",This bud will blossom...tomorrow.,""" "" , , , "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """,9,50,0.0,41
影片《尼伯龍根》在當時沒有留存下一個完整的通用的德國版本,"Despite having more or less always been in circulation,",the <unk> <unk> <unk> <unk> <unk> the <unk> <unk> <unk> <unk> the <unk> <unk> <unk> <unk> the <unk> <unk> <unk> <unk> <unk> the <unk> <unk> <unk> <unk> <unk> <unk> the <unk> <unk> <unk> <unk> .,10,35,0.0,25
愛人也還沒有敞開心扉,The lover who is yet to show,""" ' s <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> .",7,30,0.0,23
千万不要僵持于永无止境的壕沟战,Shove ahead out there and don't stick to that everlasting trench warfare!,the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> .,15,36,0.0,21
真的 你指望我相信你吗,Really? Expect me to believe that?,you ' you you you you you you you you you you you you you you you you you you .,8,21,0.0,13
他们可以24小时工作 没有人能够区别机器人和真人,"24 more hours of work ― and no man, Joh Fredersen, will be able to differentiate the Machine-Man from a mortal ― !",""" they ' <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> .",27,14,0.0,13
他們實在是寡不敵眾！,The fight is too uneven!,he ' s <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> .,6,16,0.0,10
这钱并不干净 Tony这些钱不是靠正档工作赚来的。,Cesca!,that ' s not that ' t be .,2,9,0.0,7
党同伐异,Intolerance,<unk> <unk> <unk> <unk> <unk> <unk> <unk> .,1,8,0.0,7
