source,reference,prediction,reference_len,prediction_len,token_f1,length_gap
谁？,Who?,who ?,2,2,1.0,0
是的。 Yes.,Yes.,yes .,2,2,1.0,0
- 是的 冯·伯恩伯格夫人,"-Yes, Miss von Bernburg.","- yes , von bernburg .",7,6,0.9231,1
我没哭,I'm not crying.,i ' m not .,6,5,0.9091,1
- 你被解雇了!,- You're discharged!,- you ' re !,6,5,0.9091,1
我...,I...,i ' . . .,4,5,0.8889,1
"不,我不能。 No, I can't.","No, I can't.","no , i ' t t .",7,7,0.8571,0
我知道。,I know.,i know know .,3,4,0.8571,1
- 男爵.,- A Baron.,- baron .,4,3,0.8571,1
等一會兒.,Wait a minute.,a minute .,4,3,0.8571,1
你知道的。,You know.,you know know .,3,4,0.8571,1
-我马上回来。 ——确定。 - I'll be right back.,- I'll be right back.,- i ' ll be .,8,6,0.8571,2
"- 4,000馬克.","- 4,000 marks.","- oh , 000 marks .",6,6,0.8333,0
-是的，我是。 -我就知道。,"- Yes, I am.","- yes , i know .",6,6,0.8333,0
Excuse me. I'll be right back.,I'll be right back.,i ' ll be .,7,5,0.8333,2
是這樣.,That's it.,that ' s . .,5,5,0.8,0
- 怎么回事?,- What's going on?,- what ' s ? ?,7,6,0.7692,1
你是个好人。 但是很抱歉，我今天不需要男仆。,You're a nice fellow.,you ' re a good .,7,6,0.7692,1
- 你真美.,- You're very sweet.,- you ' re you .,7,6,0.7692,1
- 我非常感谢,- I'm so grateful.,- i ' m going .,7,6,0.7692,1
"當然, 夫人.","Certainly, Madame.","but , madame .",4,4,0.75,0
哦，不! 我是小红帽!,"Oh, no!","oh , , !",4,4,0.75,0
格雷森先生。 Mr. Grayson.,Mr. Grayson.,mr . smith .,4,4,0.75,0
"""我已经警告你们了""","""I'm warning you.""",""" i ' m you to you .",8,8,0.75,0
但是．小姐,"But, madame -","but , madame .",4,4,0.75,0
- 来看,- Take a look.,- look .,5,3,0.75,2
我的妻子,My wife.,my wife my wife .,3,5,0.75,2
你要被關起來了.,You're going to be locked up.,you ' re going to . .,9,7,0.75,2
"不, 該死, 我沒空兒.","No, darn it, I'm not.","no , , , i ' m sorry .",10,9,0.7368,1
我不能.,I couldn't.,i ' ' t t .,5,6,0.7273,1
"- 是的, 謝謝.","- Yes, thank you.","- yes , yes .",6,5,0.7273,1
你在哭什么？ What are you crying about?,What are you crying about?,what are you you ?,6,5,0.7273,1
我是汗莫卡,I'm Hamacher.,i ' m my <unk> .,5,6,0.7273,1
这是这个想法。 That's the idea.,That's the idea.,that ' s that .,6,5,0.7273,1
他是個賊.,He's a thief.,he ' s . .,6,5,0.7273,1
你知道吗...,You know...,you know you know . .,5,6,0.7273,1
抱歉 教授,"- Sorry, Herr Professor.","- professor , professor .",6,5,0.7273,1
- 我在等...,- I was waiting...,- i ' m . . .,7,7,0.7143,0
玛努薇拉 我想告诉你,"Manuela, I want to tell you something.","manuela , i ' ll tell you to tell you .",9,11,0.7,2
我们不希望你为此麻烦。 We don't want you to go to any trouble about that.,We don't want you to go to any trouble about that.,we ' t want to you to you .,14,9,0.6957,5
这就是为什么我带你来这。,That's why I brought you here.,that ' s what i ' m you .,9,9,0.6667,0
- 沒必要.,- Don't be.,- i ' ll be .,6,6,0.6667,0
进来,Come in.,come on .,3,3,0.6667,0
但我不用.,But I don't.,i ' ' t t .,6,6,0.6667,0
是吗？,- Mad?,- is ?,3,3,0.6667,0
What's the difference?,What's the difference?,how ' s the matter ?,6,6,0.6667,0
"你明白了，不是吗？ 你又好又聪明。 You caught on, didn't you?","You caught on, didn't you?","you ' t you , you , you ?",9,9,0.6667,0
- Dawson.,- Dawson.,- no .,3,3,0.6667,0
到这儿来,Come here.,here here .,3,3,0.6667,0
我明年还会再来的,I'll be back next year.,i ' ll be to be .,8,7,0.6667,1
看来我得重头教育你们,"Well, I'll have to teach you.","let me , i ' ll be you to you .",10,11,0.6667,1
- 難道你不是在彈什麼嗎?,- Weren't you playing something?,- you ' t you you ?,8,7,0.6667,1
他吻了我．,He kissed me.,he ' s me .,4,5,0.6667,1
"""嘿, 寶貝兒!","""Hi, baby!",""" , , !",5,4,0.6667,1
"噢,是吗? Oh, yeah?","Oh, yeah?","oh , , , ?",4,5,0.6667,1
我走著去.,I'll walk.,i ' ll go to . .,5,7,0.6667,2
"-不，先生 -是的 - No, sir.","- No, sir.","- no , mr . . .",5,7,0.6667,2
他睡了,"""He's asleep.""",he ' s he .,7,5,0.6667,2
这是怎么回事？ 这个女人是谁？ What's going on here?,What's going on here?,what ' s what ?,7,5,0.6667,2
2..,two...,. .,4,2,0.6667,2
迈克尔撕报纸干什么？ What's Michael tearing the paper about?,What's Michael tearing the paper about?,what ' s the matter ?,9,6,0.6667,3
- 你没有母亲了？,-You don't have a mother?,- you ' t you ?,9,6,0.6667,3
大地... 聖潔的大地... ！,O Earth... sacred Earth...,the <unk> . . . . . . .,10,9,0.6316,1
"你是個好人, 克林格蘭先生.","You're a good man, Mr. Kringelein.","you , mr , mr . kringelein .",11,8,0.6316,3
我已經等了很長時間了.,I've been here a very long time.,i ' ve been <unk> .,10,6,0.625,4
"在她看来，我只是受雇的帮手。 As far as she's concerned, I'm just part of the hired help.","As far as she's concerned, I'm just part of the hired help.","she ' s the <unk> , i ' m <unk> .",18,11,0.6207,7
"- 再見, 閣下.","- Goodbye, Your Excellency.","- goodbye , , , . .",6,7,0.6154,1
That's not a nail. That's our own invention.,That's our own invention.,that ' s all right .,7,6,0.6154,1
- 但是你怎麼知道的?,- But how do you know?,- what is you know ?,7,6,0.6154,1
I'll tell you something.,I'll tell you something.,i ' ' t you .,7,6,0.6154,1
一切都会好的。 It'll be all right.,It'll be all right.,- i ' ll be .,7,6,0.6154,1
是的．他可以．,"- Yes, he can.","yes , he ' s . .",6,7,0.6154,1
我不在乎.,I don't care.,i ' ' t t . .,6,7,0.6154,1
- 贝肯多夫...,-Beckendorf...,- i ' . . . . .,5,8,0.6154,3
出什么事了，老兄？,"What's the matter, man?",what ' s what ?,8,5,0.6154,3
我很抱歉。 我下去把它们扔出去。,I'm sorry.,i ' m going to go to .,5,8,0.6154,3
你現在還不走?,Hadn't you better go now?,you ' t you ?,8,5,0.6154,3
你在唱什么? 去那里。 你在唱什么?,What are you singing?,what do you you ?,5,5,0.6,0
"哦,米勒先生。 Oh, Mr. Miller.","Oh, Mr. Miller.","mr , mr .",6,4,0.6,2
"哦,芭芭拉。 Oh, Barbara.","Oh, Barbara.","oh , , , . .",4,6,0.6,2
"你好,炖肉。 恭喜你!","Hello, Stew.","hello , , , you .",4,6,0.6,2
不行 玛努薇拉,"No, Manuela.",no ' t t manuela .,4,6,0.6,2
哦．不,Oh. No.,"oh , no , no .",4,6,0.6,2
你确定不认识他吗?,You sure you don't know him?,you ' t t t t you ?,9,8,0.5882,1
我还会再把你扔出去。 And I'll throw you out again.,And I'll throw you cut again.,i ' ll be you to you .,9,8,0.5882,1
他是那些学生们的教授,He's the schoolboys' Professor.,he ' s the <unk> of the <unk> .,8,9,0.5882,1
噢 玛努薇拉 你看起来真漂亮！,"-Oh, Manuela, you're beautiful.","manuela manuela , you ' re !",10,7,0.5882,3
- 现在没事了,"- Oh, it's all right now.",- now ' s the matter .,10,7,0.5882,3
"- I didn't, huh?","- Didn't, huh?","- i ' m sorry , ?",7,7,0.5714,0
-太多了。 - $65. - That's too much.,- That's too much.,- i ' s all right .,7,7,0.5714,0
"- Sure, you ran away.","- Sure, you ran away.","- i , , , you .",7,7,0.5714,0
- 西部劇院?,- Western Theater?,- where ?,4,3,0.5714,1
小姐,"Oh, madame.","- , .",4,3,0.5714,1
一不用客气 我相信你,You're very welcome. I believe you.,"- no , i ' t believe you you you .",10,11,0.5714,1
是吗？,Is that so?,- is ?,4,3,0.5714,1
- 晚安.,- Good night.,- . .,4,3,0.5714,1
现在 你得走了,You have to go now.,now you ' re going to you .,6,8,0.5714,2
"对不起，米勒先生。 我不是那个意思。 I'm sorry, Mr.","I'm sorry, Mr. Miller.","no , i ' m not , i ' m sorry .",9,12,0.5714,3
我应该穿着它 然后想到她,I'm supposed to wear it and think of her.,i ' m <unk> to <unk> to her .,12,9,0.5714,3
好的．,"Yes, Madame Bertier. Yes. Thank you.","yes , . .",10,4,0.5714,6
"哦，没问题，夏普先生。 Oh, no trouble, Mr. Sharpe.","Oh, no trouble, Mr. Sharpe.","oh , , , , , , . .",9,9,0.5556,0
"现在，你明白了，康罗伊。 Now, you get this, Conroy.","Now, you get this, Conroy.","now , , , , , , , you .",8,10,0.5556,2
我有三个小时没见到你了。 你已经忽略我了。 I haven't seen you for three hours.,I haven't seen you for three hours.,i ' ' t you to you .,10,8,0.5556,2
- 你愿意和我一起去找她吗?,- Will you go with me to her now?,- you you you want to me ?,10,8,0.5556,2
她打电话找你。 我想你最好马上过去。 And she's calling for you.,And she's calling for you.,"she ' s you , i ' ll you .",8,10,0.5556,2
Who's gonna stop me? I'd like to see somebody stop me.,I'd like to see somebody stop me.,i ' ' t get to me .,10,8,0.5556,2
我一会儿给你打回去,I'm gonna have to call you back.,i ' ll be you to you .,10,8,0.5556,2
"- 謝謝, 夫人.","- Thank you, madam.","- yes , madame .",6,5,0.5455,1
请坐格罗夫纳小姐,"Sit down, Miss Grosvenor.","- , , miss .",6,5,0.5455,1
我提醒你.,I told you that.,i ' m you you .,5,6,0.5455,1
- 你見過夫人嗎?,- Have you seen Madame?,- you are you ?,6,5,0.5455,1
"你好，好孩子！ Hello, sonny boy!","Hello, sonny boy!","hello , , , , !",5,6,0.5455,1
注意 教授 注意,"Watch this, Herr Professor.",""" professor , professor .",6,5,0.5455,1
- 是啊 班恩,"- Come on, Behn.","- yes , sir .",6,5,0.5455,1
玛努薇拉跟你们在一起吗？,Is Manuela with you?,"manuela , you you you ?",5,6,0.5455,1
Smith. - How do you do?,- How do you do?,how you want you ?,6,5,0.5455,1
"是, 行李房領班.","Yes, head porter.","yes , , . . .",5,6,0.5455,1
I know what's wrong. I'm colorblind.,I'm colorblind.,i ' ' t know .,5,6,0.5455,1
是的,"Oh, yes, very nice.","yes , yes .",7,4,0.5455,3
我想祝贺你们,I congratulate you.,i want you want to you .,4,7,0.5455,3
后来...,And...,come . . . . . .,4,7,0.5455,3
- 問有什麼用嗎?,- What is the use of asking?,- what ?,8,3,0.5455,5
"噢, 你不認為我與你是不相關的... 但是如果你買些新衣服, ... 可能你會更開心一些.","You know, I know you won't think I'm impertinent... but perhaps you might have a little better time... if you bought some new clothes.","i ' t you you , i ' t you you , i ' t you you . you . you . you . . . .",36,27,0.5397,9
我会一直守着你,"I like to hear you say it, though. I'll never stop loving you.",i ' ll be you to you .,18,8,0.5385,10
"哦，我和安妮的婚姻。 Oh, my marriage to Anne.","Oh, my marriage to Anne.","oh , i ' m my <unk> .",7,8,0.5333,1
我稍后将在那工作,I'm working here late.,i ' m <unk> <unk> <unk> <unk> .,7,8,0.5333,1
