zh,en
前情提要,"Previously on ""The Blacklist""..."
- 想给爸爸打电话吗?,- You want to call your daddy?
- 嗯 我想告诉他我没事,"- Yeah, I want to tell him I'm okay."
Lizzy...,Lizzy... Be careful of your husband.
小心你丈夫,I can only lead you to the truth.
我只能领你找到真相 但不能使你相信它,I can't make you believe it.
她自称叫Jolene Parker,She's calling herself Jolene Parker.
Elizabeth Keen不是你的妻子 而是你的目标,"Elizabeth Keen is not your wife, she's your target."
从咱们见面那天起 你就威胁说要把我丈夫的实情告诉我 我做好准备听你说了,"You have been threatening to tell me the truth about my husband since the day we met, and I'm ready to listen."
眼下唯一重要的 就是咱们的直接威胁 即你的丈夫...,"Right now, the only thing that matters is the immediate threat... Your husband..."
查清楚他的身份和雇主,Finding out who he is and who he works for.
其他都会随之而来的 我保证,The rest will come. I promise you.
- 人已上车 正在途中,Asset on board. En route.
- 12毫升肾上腺素,12 cc epinephrine.
让开,Clear.
快点 45秒,- 45 seconds.
- 还需要更多肾上腺素,We need more adrenaline.
- 捂住她的嘴,Cover her mouth.
没事了 没事了,It's okay.
你已经没事了 很好 休息吧,It's okay. It's okay. Shh!
明早你就会到美国了,You'll be in America by morning.
我们要带你去华盛顿,"We're taking you to Washington, D.C."
你知道犯人要被送到哪去吗?,Do you know where the prisoner was transported to?
华盛顿 好的 对 我们来处理,"Uh, Washington. Okay. Yes, we'll take care of it."
很好,Very good.
华盛顿?,Washington?
Jolene Parker的案子从啥时候开始 从失踪人口案变成谋杀案调查了?,Since when did Jolene Parker's case go from missing person to murder investigation?
- 你看见我的钥匙了吗?,- And have you seen my keys?
- 真是疯了 是吧?,"- It's crazy, right?"
- 对啊 怎...,"Yeah, what, uh..."
怎么回事?,What happened?
- 警察说他们锁定一个嫌犯了,The police say they have a person of interest.
是吗?,Really?
谁啊?,Who is it?
他们...,What do they...
他们都知道些什么?,What do they know?
他们还不确定,They're not sure.
她有没有可能 就像说的那样 离开镇上搬去了代顿?,Isn't it possible that she just left town like she said? Moved to Dayton?
他们发现了血迹...,They found blood...
跟她匹配,Matches hers.
你天天都会看见这种事...,You see this stuff every day...
你总看见人们受伤 或者被杀...,"You know, people getting hurt and killed... and..."
但我不是啊,I don't.
我吓死了,It freaks me out.
我一想到这种事要是发生在你身上 你明白吗...,"Just the thought of that happening to you, you know..."
答应我 上班的时候一定要加倍小心,Just promise me you're as careful as you can be when you're at work.
- 桌子上,- The desk.
- 嗯?,- Hmm?
电脑旁边...,By the computer...
你的钥匙在那儿,That's where I saw your keys. Oh.
我可要迟到大发了 真得惩罚自己一下,I'm gonna be so late. I'm gonna give myself a tardy slip.
找到啦!,Found 'em!
在报纸底下,They were under the newspaper.
没有你我可怎么办啊?,What would I do without you?
我得赶紧走,I got to run.
今天晚上咱们去那个新开的泰国菜餐馆吧,"Uh, tonight for dinner, let's check out that new thai place."
- 他知道有事不对劲,He knows something's off.
- 为什么这么说?,What makes you say that?
我能感觉到 我了解他,I can feel it. I know him.
Tom警觉起来了 他表现有点奇怪,Tom is on his heels. He's behaving erratically.
他杀了Jolene Parker,He killed Jolene Parker.
是的,Yes.
你早就知道?,You knew?
那为什么没告诉我?,Why didn't you tell me?
我觉得如果告诉了你 就会影响到你在他身边时的行为,I felt if I told you it would inform your behavior with him.
我发现了尸体 报了警 登记了失踪人口,"I found her body, called the police, and reported a missing person."
我相信 他们在调查过程中 一定会找到你和Tom 事实也的确如此,"I was confident, in the course of their investigation, they would reach out to you and Tom, and they did."
Jolene Parker和Tom无疑是为同一个组织效力...,Jolene Parker undoubtedly worked for the same organization as Tom...
但他们的地位如何 我不知道,"In what capacity, I have no idea."
如果他们共同工作 他为什么要杀了她?,"If they worked together, why would he murder her?"
也许有人命令他这么做,Perhaps he was ordered to.
或者他只是...,Or perhaps he's just...
失去了控制 不够理智...,"Out of control, irrational..."
偏执 又反动,Paranoid and reactionary.
他在为自己争夺一个立足点 而我们 就借机等待 旁观,"He's scrambling for a foothold, and therein lies our opportunity to wait and to watch."
但Tom并非我来这里的原因,But Tom is not the reason I'm here.
恐怕有些事情现在正在进行之中,I'm afraid there's something quite timely afoot.
Pavlovich兄弟回来了,The Pavlovich brothers are back in town.
你说的是在桥上抓走将军女儿的那些人,You're talking about the team from the bridge that grabbed the general's daughter.
他们是一支抢人小队...,They're an extraction team...
在南斯拉夫战争种族清洗时 因参与了Milosevic的卫队而为人所知,Cut their teeth on Milosevic's protective detail during the ethnic cleansing of the Yugoslav wars.
那天我们死了六个人,We lost six of our men that day.
据我们所知 Pavlovich兄弟并没有政治目的,"To the best of our knowledge, the Pavlovich brothers have no political agenda."
他们的专长是抢劫性犯罪 从绑架勒索到抢出异政分子 他们都干,They specialize in snatch-and-grabs ranging from kidnap and ransom to extracting political dissidents.
Reddington说他有个线人,Reddington says he has a contact.
是给兄弟两个洗钱的人 他说 他们要去找一个中国科学家 叫李小萍,A money launderer sourced by the brothers claims they're coming after a Chinese scientist named Xiaoping Li.
- 我们对她有何了解?,- What do we know about her?
- 18个小时前 我们派了一支秘密小队 把她从云南省的一个秘密劳改所带出来,"- 18 hours ago, the agency sent an undercover team to extract her from a clandestine labor camp in the Yunnan province."
- 帮她越狱? 为什么?,- Break her out?
- 她是一名免疫学家...,Why? - She's an immunologist...
专攻病毒和细菌性疾病,Specializes in viral and bacterial diseases.
四个月前 她联系了我们的一个线人 说她愿意透露一个秘密武器项目,"Four months ago, she signaled to one of our assets that she had a willingness to talk about a secret weapons program."
一个月后 她因叛国罪入狱,"A month later, she was jailed for treason."
一小时后 她就该抵达机场 我们派了人到时陪同她前往中情局总部作个汇报,"She's scheduled to land at Andrews in an under an hour, and we have a team standing by to escort her to Langley"
我们应该假设 Pavlovich兄弟已经知道了这条路线,- for a debriefing. - We got to assume that the Pavlovich brothers already know the route.
那咱们就更改路线 把她带到这儿来,"Well, then we'll reroute her. Bring her here."
跟总部那边协调一下,Coordinate the adjustment with Langley.
Echo呼叫Tango 目标已经到达,"Echo to tango. Uh, asset at drop point."
收到 30秒后会合,Roger. 30 seconds to rendezvous.
- 这边 快点,- This way. Quickly.
- 怎么回事?,- What's going on?
- 他们说我到这儿以后就安全了,They said I'd be safe once I arrived.
- 我们有理由相信你现在正受到威胁,We have a credible threat you're being targeted.
以防万一 我们更改了路线 带她上直升机,"As a precaution, we've altered our route. Get her up to the chopper."
我是Donald Ressler FBI 目标呢?,Donald Ressler. FBI. Where's the asset?
- 地面转移已经安排好了,- Ground transport's been arranged.
- 不,- Negative.
撤离计划暴露了 执行后备计划...,Evac's been compromised. Moving to beta proto...
请求支援,Call it in.
嗯 好的 明白,All right. Okay. Copy that.
Anne Arundel郡警局报告 克罗夫顿两英里外有一架直升机坠落起火,Anne Arundel county sheriff's department's reporting a downed aircraft burning two miles outside of Crofton.
地面上没有目击证人,There's no witnesses on the ground.
- 我们派人去了 直升机上应该有发现,We do have units en route. It's got to be the dump site
- 他们知道CIA的规程...,- on this chopper. - They knew CIA protocol...
如果线路暴露了 就会派出空中支援 这些人的大本营不在国内,"That if the routes were compromised, they'd send in air support. These guys weren't based domestically."
他们悄悄溜进来 再溜出去,"They snuck in, and they're gonna sneak out."
咱们应该和国土安全部合作 发布通缉,"We should coordinate with homeland, get their faces everywhere."
Malik特工 能告诉我 国家情报局局长为什么要给我打电话吗?,"Agent Malik, you want to tell me why the director of national intelligence is calling?"
这个案子有什么我不知道的事吗?,What don't I know about this case?
李参加的那个项目 是细菌武器...,The program li was working on... It's germ weaponry...
被世界上几乎所有国家都禁止 叫做白雾项目,Banned by nearly every nation on Earth. It's called Whitefog.
入狱前一天 李小萍发出消息 说她能接触到武器的设计,"Day before she was jailed, Xiaoping Li sent a message indicating that she had access to the designs."
如果她能成功拿到 并把那些信息告知我们 那么这就会成为十年来最大的情报叛变,"If she did, and she shared those with us, that would represent the biggest intelligence coup in a decade."
细菌武器项目?,A germ-warfare program?
所以中国人不能把这件事转变为国际争端,That's why the Chinese can't turn this into an international incident.
- 你在哪?,- Where are you?
- 忙着呢,- Busy.
那些兄弟们抓走了李小萍,The brothers... They took Xiaoping Li.
你怎么知道?,How do you know?
你有线索吗?,Do you have a lead?
能让我们...,Something we can...
- 你丈夫不在学校,- Your husband is not in school.
- 等等 什么?,- Wait. What?
他在哪?,Where is he?
到宪法路9号来找我,Meet me at 9th and Constitution.
Reddington说他有那些兄弟的线索 他想聊聊,Reddington says he has a lead on the brothers. Wants to talk.
NTSB要是对那架坠机的直升机有消息的话 告诉我一声,Let me know what NTSB says about that downed aircraft.
他今早请了病假,Called in sick this morning.
然后短暂地回了一会儿家 又去了Adams Morgan的拉德福德银行,Returned home briefly before making a stop at the Radford Bank in Adams Morgan.
他打了三个电话...,He's made three phone calls...
都是用的公共电话,All from pay phones.
他在这儿坐了快一小时了,He's been sitting at that cart for nearly an hour.
我很抱歉 Lizzy,"I'm sorry, Lizzy."
不必,Don't be.
- 你一定不好受,This must be difficult.
- 你知道更不好受的是什么吗?,You want to know what's hard?
在这儿干坐着 而我真正想做的 是亲手把他掐死,Sitting here when all I really want to do is get my hands around his throat.
- 咱们不用跟踪他吗? - 跟着呢,- Shouldn't we follow him?
他们都为你效力,They all work for you.
Lizzy 等一下 你要干什...,"Lizzy, wait, wait, wait. What are you do..."
现在不行,Not now.
船多久能到?,The boat... How long for the boat?
不 不 求你 别这样,"No. No. Please, no."
Tom?,Tom?
- Tom?,Tom?
- 我在餐厅,I'm in the dining room.
- 你从哪儿搞到的这个?,Where'd you get that thing?
- 我还想问你呢,I was gonna ask you the same question.
我在地下室找到的,I found it in the basement.
原来在那儿啊 我一直在找呢,That's where that was. I've been looking for it.
- 是我父亲给我的,My father gave it to me.
- 很漂亮,It's beautiful.
用起来也挺好 看着像新的似的,"It's in great condition, too."
- 我以前怎么没见过?,Why haven't I seen this before?
- 烧的水要溢出来了,Your pot is gonna boil over.
你在做饭?,You're cooking?
我以为咱们要去吃泰国菜,I thought we were going out for thai.
嗯 我就是觉得 单独呆在家也挺好的...,"Yeah, well, I just thought it might be nice, you know, to stay home alone... Just you and me."
- 你今天过得怎么样?,How was your day?
- 累死了,It was exhausting.
你知道Billy Salter吧?,You know Billy Salter?
